"trait","group1","group2","p.value"
"BillCulmen","everetti","erythropleurus","0.02928"
"BillCulmen","japonicus CONTINENTAL","erythropleurus","2.0e-11"
"BillCulmen","japonicus CONTINENTAL","everetti","3.5e-05"
"BillCulmen","japonicus OCEANIC","erythropleurus","< 2e-16"
"BillCulmen","japonicus OCEANIC","everetti","< 2e-16"
"BillCulmen","japonicus OCEANIC","japonicus CONTINENTAL","< 2e-16"
"BillCulmen","meyeni","erythropleurus","3.1e-07"
"BillCulmen","meyeni","everetti","0.05236"
"BillCulmen","meyeni","japonicus CONTINENTAL","1.00000"
"BillCulmen","meyeni","japonicus OCEANIC","< 2e-16"
"BillCulmen","montanus NORTH","erythropleurus","0.02425"
"BillCulmen","montanus NORTH","everetti","1.00000"
"BillCulmen","montanus NORTH","japonicus CONTINENTAL","0.20402"
"BillCulmen","montanus NORTH","japonicus OCEANIC","< 2e-16"
"BillCulmen","montanus NORTH","meyeni","1.00000"
"BillCulmen","montanus SOUTH","erythropleurus","9.2e-07"
"BillCulmen","montanus SOUTH","everetti","0.81609"
"BillCulmen","montanus SOUTH","japonicus CONTINENTAL","0.02645"
"BillCulmen","montanus SOUTH","japonicus OCEANIC","< 2e-16"
"BillCulmen","montanus SOUTH","meyeni","1.00000"
"BillCulmen","montanus SOUTH","montanus NORTH","1.00000"
"BillCulmen","nigrorum","erythropleurus","1.00000"
"BillCulmen","nigrorum","everetti","0.56306"
"BillCulmen","nigrorum","japonicus CONTINENTAL","4.2e-10"
"BillCulmen","nigrorum","japonicus OCEANIC","< 2e-16"
"BillCulmen","nigrorum","meyeni","8.2e-06"
"BillCulmen","nigrorum","montanus NORTH","0.28496"
"BillCulmen","nigrorum","montanus SOUTH","2.6e-05"
"BillCulmen","nigrorum CS","erythropleurus","1.1e-07"
"BillCulmen","nigrorum CS","everetti","0.00552"
"BillCulmen","nigrorum CS","japonicus CONTINENTAL","1.00000"
"BillCulmen","nigrorum CS","japonicus OCEANIC","1.1e-11"
"BillCulmen","nigrorum CS","meyeni","1.00000"
"BillCulmen","nigrorum CS","montanus NORTH","0.71494"
"BillCulmen","nigrorum CS","montanus SOUTH","0.48287"
"BillCulmen","nigrorum CS","nigrorum","2.5e-06"
"BillCulmen","palpebrosus","erythropleurus","1.00000"
"BillCulmen","palpebrosus","everetti","2.8e-05"
"BillCulmen","palpebrosus","japonicus CONTINENTAL","9.7e-16"
"BillCulmen","palpebrosus","japonicus OCEANIC","< 2e-16"
"BillCulmen","palpebrosus","meyeni","6.9e-11"
"BillCulmen","palpebrosus","montanus NORTH","0.00013"
"BillCulmen","palpebrosus","montanus SOUTH","2.9e-11"
"BillCulmen","palpebrosus","nigrorum","0.38546"
"BillCulmen","palpebrosus","nigrorum CS","8.9e-11"
"BillCulmen","simplex","erythropleurus","1.00000"
"BillCulmen","simplex","everetti","5.7e-05"
"BillCulmen","simplex","japonicus CONTINENTAL","7.8e-16"
"BillCulmen","simplex","japonicus OCEANIC","< 2e-16"
"BillCulmen","simplex","meyeni","1.0e-10"
"BillCulmen","simplex","montanus NORTH","0.00030"
"BillCulmen","simplex","montanus SOUTH","2.1e-11"
"BillCulmen","simplex","nigrorum","0.86918"
"BillCulmen","simplex","nigrorum CS","1.6e-10"
"BillCulmen","simplex","palpebrosus","1.00000"
"BillNareTip","everetti","erythropleurus","1.7e-08"
"BillNareTip","japonicus CONTINENTAL","erythropleurus","1.2e-08"
"BillNareTip","japonicus CONTINENTAL","everetti","1.00000"
"BillNareTip","japonicus OCEANIC","erythropleurus","< 2e-16"
"BillNareTip","japonicus OCEANIC","everetti","< 2e-16"
"BillNareTip","japonicus OCEANIC","japonicus CONTINENTAL","2.2e-12"
"BillNareTip","meyeni","erythropleurus","2.8e-11"
"BillNareTip","meyeni","everetti","1.00000"
"BillNareTip","meyeni","japonicus CONTINENTAL","1.00000"
"BillNareTip","meyeni","japonicus OCEANIC","2.5e-08"
"BillNareTip","montanus NORTH","erythropleurus","0.00692"
"BillNareTip","montanus NORTH","everetti","1.00000"
"BillNareTip","montanus NORTH","japonicus CONTINENTAL","1.00000"
"BillNareTip","montanus NORTH","japonicus OCEANIC","9.2e-14"
"BillNareTip","montanus NORTH","meyeni","0.43353"
"BillNareTip","montanus SOUTH","erythropleurus","5.9e-12"
"BillNareTip","montanus SOUTH","everetti","1.00000"
"BillNareTip","montanus SOUTH","japonicus CONTINENTAL","1.00000"
"BillNareTip","montanus SOUTH","japonicus OCEANIC","< 2e-16"
